2016-12-14 16:11:11,/minutes_paper/mp/teacher/all_student.php,,150.89.227.45,L505-45.is.oit.ac.jp,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/54.0.2840.99 Safari/537.36
2016-12-14 16:12:19,/minutes_paper/mp/teacher/all_student.php,,150.89.227.45,L505-45.is.oit.ac.jp,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML， like Gecko) Chrome/54.0.2840.99 Safari/537.36
